1S LIMIT AGG (ns), 1S USAGE AGG (ns)
18870000.0,3701431.0
15096000.0,12189233.0
15096000.0,14247492.5
15096000.0,7200544.5
15000000.0,659823.0
15000000.0,5048527.5
15000000.0,12221101.5
15000000.0,14228138.5
15000000.0,15000000.0
21000000.0,15515627.5
27000000.0,14908559.5
21600000.0,19725607.5
21600000.0,6915889.0
27600000.0,22354236.5
27600000.0,20086968.0
22080000.0,1675078.0
17664000.0,17664000.0
17664000.0,5109909.0
23664000.0,18475243.5
18931000.0,3393678.0
15144500.0,15144500.0
15144500.0,10645523.5
21144500.0,20412258.0
21144500.0,3366976.5
16915500.0,16915500.0
16915500.0,4593995.5
22915500.0,18640464.0
22915500.0,19088388.5
22915500.0,2295294.5
18332000.0,17437669.0
18332000.0,14169470.5
15000000.0,1641664.0
15000000.0,14689020.0
15000000.0,14315742.0
21000000.0,20105069.5
21000000.0,558963.5
27000000.0,20896546.5
21600000.0,21304898.5
21600000.0,20234457.5
21600000.0,4921121.0
27600000.0,20500534.0
22080000.0,16634533.0
17664000.0,2834839.0
15000000.0,13366902.0
15000000.0,14196139.5
15000000.0,15000000.0
21000000.0,21000000.0
27000000.0,20403553.0
33000000.0,21439468.0
26400000.0,17021226.5
21120000.0,21120000.0
21120000.0,21120000.0
27120000.0,27120000.0
33120000.0,26885026.0
39120000.0,26720877.0
31296000.0,27492896.5
31296000.0,31296000.0
31296000.0,31296000.0
37296000.0,29393201.0
43296000.0,35216901.5
43296000.0,21646092.5
34636500.0,28180205.0
34636500.0,21152557.5
27709000.0,25645222.5
27709000.0,24485738.5
27709000.0,26497501.0
27709000.0,26535963.5
27709000.0,26989436.5
27709000.0,24030623.0
33709000.0,22217244.5
26967000.0,21679501.5
26967000.0,26967000.0
26967000.0,26967000.0
32967000.0,26837352.5
32967000.0,20601017.5
26373500.0,25309306.5
26373500.0,21525408.5
32373500.0,28527774.5
32373500.0,23244689.5
25898500.0,20687550.5
20718500.0,20718500.0
20718500.0,20718500.0
26718500.0,20106998.0
32718500.0,29008693.5
32718500.0,25548684.0
26174500.0,20694861.5
20939500.0,20939500.0
20939500.0,20939500.0
26939500.0,25470795.0
32939500.0,28190340.0
32939500.0,28905009.5
32939500.0,32939500.0
32939500.0,22074313.5
38939500.0,31356349.0
38939500.0,24858737.0
31151500.0,30637377.5
31151500.0,21186477.0
24921000.0,21811646.0
24921000.0,22914737.0
24921000.0,22069894.5
24921000.0,24921000.0
24921000.0,24921000.0
30921000.0,28467977.0
36921000.0,33419415.5
36921000.0,25070331.0
29536500.0,25217237.5
29536500.0,25186520.0
29536500.0,25742144.0
29536500.0,22184617.0
23629000.0,23555789.5
23629000.0,21042064.5
23629000.0,23629000.0
23629000.0,23629000.0
29629000.0,26755531.0
35629000.0,26373881.0
