1S LIMIT AGG (ns), 1S USAGE AGG (ns)
15000000.0,1054351.5
15000000.0,3146741.0
15000000.0,1645534.5
15000000.0,2142219.5
15000000.0,1049621.0
15000000.0,2110200.5
15000000.0,4013807.0
15000000.0,1592081.5
15000000.0,1585930.0
15000000.0,1066907.5
15000000.0,1058547.5
15000000.0,1629200.5
15000000.0,1655557.5
15000000.0,3867231.0
15000000.0,1063277.0
15000000.0,2102632.5
15000000.0,8612608.5
15000000.0,1601210.0
15000000.0,1595782.0
15000000.0,1063620.5
15000000.0,1065400.5
15000000.0,1599405.0
15000000.0,1649236.0
15000000.0,2149347.5
15000000.0,1066439.0
15000000.0,2119832.0
15000000.0,4081999.0
15000000.0,1599341.0
15000000.0,1597602.0
15000000.0,1065872.5
15000000.0,1071741.5
15000000.0,1597010.5
15000000.0,1645880.5
15000000.0,2148568.0
15000000.0,1072090.0
15000000.0,2121050.0
15000000.0,5580166.0
15000000.0,2183074.0
15000000.0,1612633.5
15000000.0,1081787.0
15000000.0,1062519.5
15000000.0,1591337.5
15000000.0,1652775.0
15000000.0,2170232.0
15000000.0,1063172.0
15000000.0,1597210.5
15000000.0,5418652.5
15000000.0,2638442.0
15000000.0,1593318.0
15000000.0,1063866.5
15000000.0,1065827.5
15000000.0,1594556.0
15000000.0,1658504.5
15000000.0,2683588.0
15000000.0,1059390.5
15000000.0,1599347.0
15000000.0,4918470.5
15000000.0,2120316.0
15000000.0,1591661.0
15000000.0,1066162.0
15000000.0,1067825.5
15000000.0,1588852.5
15000000.0,1661223.0
15000000.0,3275246.0
15000000.0,1061066.5
15000000.0,2113551.5
15000000.0,4959708.0
15000000.0,2110062.0
15000000.0,1595928.5
15000000.0,1063274.0
15000000.0,1068744.0
15000000.0,1591572.0
15000000.0,1644621.0
15000000.0,2131212.0
15000000.0,1060111.5
15000000.0,2110578.5
15000000.0,5153590.0
15000000.0,2131737.0
15000000.0,1617964.0
15000000.0,1067801.0
15000000.0,1073919.0
15000000.0,1596284.5
15000000.0,1642197.5
15000000.0,2142608.0
15000000.0,1066222.0
15000000.0,1626772.5
15000000.0,5525286.5
15000000.0,1577424.0
15000000.0,1592860.0
15000000.0,1058838.5
15000000.0,1056140.5
15000000.0,1616137.5
15000000.0,1648296.5
15000000.0,2130317.5
15000000.0,1059220.0
15000000.0,2106399.5
15000000.0,5030419.5
15000000.0,1629503.5
15000000.0,1587656.0
15000000.0,2756280.0
15000000.0,1065972.0
15000000.0,3143505.5
15000000.0,1659962.5
15000000.0,1621203.5
15000000.0,1060514.0
15000000.0,2119559.5
15000000.0,5079020.0
15000000.0,1606443.5
15000000.0,1592973.0
15000000.0,1064835.0
15000000.0,1058938.0
15000000.0,1586597.5
15000000.0,1694421.0
15000000.0,3850948.5
15000000.0,1058289.0
15000000.0,2136926.5
15000000.0,9215426.0
15000000.0,1584430.5
15000000.0,1599832.5
15000000.0,1062219.0
15000000.0,1070358.5
15000000.0,1597447.0
15000000.0,1671878.0
15000000.0,1587701.5
15000000.0,1071503.0
15000000.0,1599421.0
15000000.0,4086692.5
15000000.0,1590065.5
15000000.0,1594852.0
15000000.0,1067235.0
15000000.0,1063781.5
15000000.0,1586916.5
15000000.0,1673812.5
15000000.0,2150389.5
15000000.0,1084484.5
15000000.0,1597389.5
15000000.0,3982583.0
15000000.0,2135386.5
15000000.0,1605815.0
15000000.0,1071551.5
15000000.0,1074889.5
15000000.0,1597071.0
15000000.0,1643019.0
15000000.0,1598544.0
15000000.0,1067600.0
15000000.0,2125335.5
15000000.0,4102279.0
15000000.0,2201600.5
15000000.0,1593196.5
15000000.0,1066814.5
15000000.0,1063426.0
15000000.0,1593969.0
15000000.0,1639532.5
15000000.0,1596452.0
15000000.0,1072493.5
15000000.0,2116439.5
15000000.0,4046218.5
15000000.0,2150683.0
15000000.0,1595806.0
15000000.0,1063613.5
15000000.0,1068877.5
15000000.0,1591513.0
15000000.0,1662910.5
15000000.0,2786783.5
15000000.0,1063881.0
15000000.0,2110243.5
15000000.0,4076677.0
15000000.0,2139694.5
15000000.0,1593713.0
15000000.0,1061511.0
15000000.0,1064252.0
15000000.0,1063997.5
15000000.0,1656519.5
15000000.0,2155968.0
15000000.0,1559399.0
15000000.0,2109538.5
15000000.0,4089981.0
15000000.0,2158069.5
15000000.0,1593901.5
15000000.0,1050156.5
15000000.0,1069287.0
15000000.0,1602078.0
15000000.0,1650806.0
15000000.0,1614934.0
15000000.0,1061625.5
15000000.0,2108056.0
15000000.0,4024324.0
15000000.0,2139769.5
15000000.0,1591075.5
15000000.0,1064587.0
15000000.0,1075911.5
15000000.0,1598455.5
15000000.0,3562480.5
15000000.0,2089182.5
15000000.0,1058811.0
15000000.0,2121548.5
