1S LIMIT AGG (ns), 1S USAGE AGG (ns)
15000000.0,1060923.0
15000000.0,2735048.0
15000000.0,1060927.5
15000000.0,1583216.5
15000000.0,2621475.0
15000000.0,2082436.5
15000000.0,2116026.5
15000000.0,4500843.5
15000000.0,1574750.0
15000000.0,1586769.0
15000000.0,1055473.5
15000000.0,2769345.5
15000000.0,1067614.5
15000000.0,1596680.5
15000000.0,1068456.5
15000000.0,1581450.5
15000000.0,2148256.5
15000000.0,4534900.0
15000000.0,1581762.5
15000000.0,2737400.5
15000000.0,2114767.5
15000000.0,2723849.5
15000000.0,1068153.0
15000000.0,1600439.5
15000000.0,1067678.5
15000000.0,1588520.5
15000000.0,2122008.0
15000000.0,9187036.0
15000000.0,1583686.5
15000000.0,1625626.5
15000000.0,1071738.5
15000000.0,2735493.5
15000000.0,1070156.0
15000000.0,1601873.5
15000000.0,1077389.5
15000000.0,1593259.0
15000000.0,3624149.5
15000000.0,4599034.5
15000000.0,1583828.0
15000000.0,1603419.5
15000000.0,1073831.5
15000000.0,2733166.5
15000000.0,1067866.0
15000000.0,1603745.0
15000000.0,1072617.0
15000000.0,1071661.0
15000000.0,2135941.5
15000000.0,4600793.5
15000000.0,1585165.0
15000000.0,1609095.0
15000000.0,1074597.0
15000000.0,2759571.0
15000000.0,1075443.5
15000000.0,1608795.0
15000000.0,1074852.0
15000000.0,1073479.5
15000000.0,3348085.5
15000000.0,4603865.0
15000000.0,1586923.0
15000000.0,1606056.5
15000000.0,1614658.0
15000000.0,2736756.5
15000000.0,1068415.5
15000000.0,1597990.0
15000000.0,1553648.0
15000000.0,1074601.5
15000000.0,2126321.0
15000000.0,4589204.0
15000000.0,1573554.5
15000000.0,2735564.0
15000000.0,1582765.5
15000000.0,2765767.5
15000000.0,1072175.5
15000000.0,1632505.5
15000000.0,1066419.5
15000000.0,1615043.5
15000000.0,2128950.5
15000000.0,4543481.0
15000000.0,1574049.5
15000000.0,1595616.0
15000000.0,1071257.0
15000000.0,2186066.5
15000000.0,1064796.0
15000000.0,1601460.5
15000000.0,1069191.0
15000000.0,1075822.0
15000000.0,1616951.0
15000000.0,4037445.0
15000000.0,1588658.0
15000000.0,1621050.5
15000000.0,1077530.5
15000000.0,2765093.5
15000000.0,1071708.0
15000000.0,1607284.0
15000000.0,1074098.0
15000000.0,1031670.5
15000000.0,2173882.5
15000000.0,4574162.5
15000000.0,1586449.0
15000000.0,1609835.0
15000000.0,1607257.5
15000000.0,2245383.0
15000000.0,1069058.5
15000000.0,1601107.0
15000000.0,2616542.0
15000000.0,2611009.5
15000000.0,2124949.5
15000000.0,5101318.0
15000000.0,1575955.0
15000000.0,1612351.5
15000000.0,1075127.5
15000000.0,2229769.0
15000000.0,1068507.0
15000000.0,2102326.0
15000000.0,1079471.5
15000000.0,1593298.5
15000000.0,2131264.0
15000000.0,4564430.5
15000000.0,1575677.5
15000000.0,3283732.5
15000000.0,1576819.5
15000000.0,2724554.5
15000000.0,1070533.5
15000000.0,1592954.5
15000000.0,1072951.5
15000000.0,1593927.5
15000000.0,2131368.0
15000000.0,8889458.5
15000000.0,1578708.0
15000000.0,1594977.0
15000000.0,1066336.5
15000000.0,2731303.5
15000000.0,1062910.5
15000000.0,1597640.5
15000000.0,1066354.5
15000000.0,1588791.0
15000000.0,2128323.0
15000000.0,4609399.0
15000000.0,1582129.0
15000000.0,1595864.5
15000000.0,1617233.0
15000000.0,2726048.5
15000000.0,1070752.5
15000000.0,1598797.5
15000000.0,1064545.0
15000000.0,1582327.0
15000000.0,2128610.5
15000000.0,4551153.0
15000000.0,1576667.0
15000000.0,1595553.0
15000000.0,1067087.0
15000000.0,2740046.0
15000000.0,1097476.5
15000000.0,1587945.5
15000000.0,1062668.0
15000000.0,1580473.5
15000000.0,3304662.5
15000000.0,4595386.5
15000000.0,1580766.0
15000000.0,1588548.0
15000000.0,1053089.0
15000000.0,2218552.0
15000000.0,1077305.0
15000000.0,1605284.0
15000000.0,1069547.5
15000000.0,1591240.5
15000000.0,2137485.5
15000000.0,4536217.0
15000000.0,1586591.5
15000000.0,2732203.0
15000000.0,1582538.5
15000000.0,2728142.5
15000000.0,1066244.0
15000000.0,1612229.5
15000000.0,1074503.5
15000000.0,1589504.5
15000000.0,2137641.0
15000000.0,4567401.5
15000000.0,1585867.0
15000000.0,1608148.0
15000000.0,1615791.5
15000000.0,2745587.0
15000000.0,1082315.0
15000000.0,1634120.0
15000000.0,1078162.5
15000000.0,1591911.5
15000000.0,2132225.5
15000000.0,4502333.5
15000000.0,1594411.0
15000000.0,1604957.5
15000000.0,1067244.0
15000000.0,2729370.5
15000000.0,1071894.0
15000000.0,1603976.0
15000000.0,1099508.5
15000000.0,1591537.5
15000000.0,2126945.5
15000000.0,4603754.5
15000000.0,1580715.5
15000000.0,1125546.5
15000000.0,1061308.5
15000000.0,2740173.5
15000000.0,1074345.0
15000000.0,1600709.0
15000000.0,2626230.5
15000000.0,2099945.0
15000000.0,2133611.0
15000000.0,5054300.5
15000000.0,1576005.5
15000000.0,1080199.0
15000000.0,1067393.0
15000000.0,2794814.5
15000000.0,1069348.0
15000000.0,1598246.5
15000000.0,1095287.0
15000000.0,1598964.0
15000000.0,2133950.5
15000000.0,4595184.0
15000000.0,1585717.5
15000000.0,2721223.5
15000000.0,2101337.5
15000000.0,2739326.5
15000000.0,1070131.0
15000000.0,1581294.0
15000000.0,1054989.5
15000000.0,1591241.5
15000000.0,2145349.5
15000000.0,9758193.0
15000000.0,1580069.0
15000000.0,1595786.0
15000000.0,1068998.0
15000000.0,2730097.5
15000000.0,1075854.5
15000000.0,1606265.0
15000000.0,1134114.5
15000000.0,1600000.5
15000000.0,2130857.0
15000000.0,4520490.5
15000000.0,1577184.0
15000000.0,1640012.0
15000000.0,1077552.5
15000000.0,2755992.0
15000000.0,1076847.5
15000000.0,1608680.0
15000000.0,1076631.5
15000000.0,1592726.0
15000000.0,2129561.0
15000000.0,4540624.0
15000000.0,1571767.0
15000000.0,1103500.0
15000000.0,557147.0
15000000.0,2208273.0
15000000.0,552320.5
15000000.0,1631563.5
15000000.0,1068324.0
15000000.0,1582210.0
15000000.0,3314258.0
15000000.0,4588149.5
15000000.0,1065511.5
15000000.0,1088732.0
15000000.0,1094184.5
15000000.0,2226461.5
15000000.0,557124.0
15000000.0,1086194.5
15000000.0,555873.0
15000000.0,1071911.0
15000000.0,1611307.0
15000000.0,4551958.5
15000000.0,1576908.0
15000000.0,2707501.5
15000000.0,1592943.0
15000000.0,2724655.5
15000000.0,1062616.5
15000000.0,1603938.5
15000000.0,1066551.0
15000000.0,1584377.0
15000000.0,2140071.5
15000000.0,4552476.5
15000000.0,2078212.5
15000000.0,1599605.5
15000000.0,1066242.5
15000000.0,2737875.5
15000000.0,1081148.0
15000000.0,1595605.5
15000000.0,1065836.5
15000000.0,1070532.0
15000000.0,2149850.0
15000000.0,4501666.0
15000000.0,1588825.5
15000000.0,1600767.0
15000000.0,1067923.0
15000000.0,2734019.5
15000000.0,1070732.0
15000000.0,1602962.0
15000000.0,1091323.0
15000000.0,1587356.5
15000000.0,2131247.5
15000000.0,4536544.5
15000000.0,1582459.0
15000000.0,1602498.0
15000000.0,1604164.0
15000000.0,2734744.0
15000000.0,1067395.0
15000000.0,1594987.5
15000000.0,2628605.5
15000000.0,2091228.0
15000000.0,2129062.0
15000000.0,4589110.5
15000000.0,1578227.0
15000000.0,1600685.0
15000000.0,1065444.0
15000000.0,2728532.5
15000000.0,1070592.0
15000000.0,1605730.0
15000000.0,1064565.0
15000000.0,1588596.5
15000000.0,2153534.0
15000000.0,4520495.0
15000000.0,1617017.5
15000000.0,2749221.0
15000000.0,1584274.5
15000000.0,2737830.0
15000000.0,1074425.0
15000000.0,1600415.0
15000000.0,1070778.0
15000000.0,1588527.0
15000000.0,2132428.5
15000000.0,9428541.0
15000000.0,1577953.0
15000000.0,1597599.0
15000000.0,1064957.0
15000000.0,2746765.5
15000000.0,1068548.5
15000000.0,1603037.5
15000000.0,1070930.5
15000000.0,1582372.5
15000000.0,2121771.0
15000000.0,4575836.5
15000000.0,1582719.5
15000000.0,1597323.0
15000000.0,1606723.0
15000000.0,2730334.5
15000000.0,1071250.5
15000000.0,1620642.0
15000000.0,1092622.0
15000000.0,1590058.5
15000000.0,2133503.0
15000000.0,5056311.0
15000000.0,1576543.0
15000000.0,1596213.0
15000000.0,1058656.0
15000000.0,3234325.0
15000000.0,1073983.0
15000000.0,1601282.0
15000000.0,1068921.5
15000000.0,1585127.5
15000000.0,3307887.0
15000000.0,4598884.5
15000000.0,1080565.0
15000000.0,1604283.5
15000000.0,1090858.5
15000000.0,2744164.0
15000000.0,1071262.0
15000000.0,1067385.0
15000000.0,1062864.5
15000000.0,1584097.0
15000000.0,2110495.0
15000000.0,4461120.0
15000000.0,1574753.5
15000000.0,2716073.5
15000000.0,1578080.5
15000000.0,2735286.5
15000000.0,1063430.0
15000000.0,1587743.0
15000000.0,1062748.0
15000000.0,1574677.5
15000000.0,2116382.5
15000000.0,4037115.0
15000000.0,1580217.5
15000000.0,1580214.0
15000000.0,1609616.5
15000000.0,2737867.5
15000000.0,1080651.0
15000000.0,1614079.5
15000000.0,1069829.0
15000000.0,1583885.0
15000000.0,2129953.5
15000000.0,4511933.0
15000000.0,1578704.0
15000000.0,1601561.5
15000000.0,1069170.5
15000000.0,2735127.5
15000000.0,1064835.5
15000000.0,1595913.0
15000000.0,1055423.5
15000000.0,1581637.5
15000000.0,2120846.5
15000000.0,5024220.0
15000000.0,1584006.0
15000000.0,1599684.5
15000000.0,1068814.0
15000000.0,2197470.5
15000000.0,1060760.5
15000000.0,1625073.5
15000000.0,2620704.0
15000000.0,2114327.0
15000000.0,2117960.0
15000000.0,4477089.5
15000000.0,1581931.0
15000000.0,1623573.5
15000000.0,1074596.0
15000000.0,2736836.0
15000000.0,1067518.5
15000000.0,1595313.5
15000000.0,6080591.0
15000000.0,4925194.0
15000000.0,2641788.5
15000000.0,5134201.0
15000000.0,2128925.5
15000000.0,5118471.0
15000000.0,2647004.5
15000000.0,1623177.5
15000000.0,2108707.5
15000000.0,1073570.5
15000000.0,1600642.5
15000000.0,1586041.5
15000000.0,2705437.0
15000000.0,9963364.0
15000000.0,1576894.0
15000000.0,1588885.0
15000000.0,1076082.5
15000000.0,1632251.5
15000000.0,2113631.5
15000000.0,1076259.0
15000000.0,1607286.0
15000000.0,1587439.0
15000000.0,2128754.5
15000000.0,4564807.5
15000000.0,1603736.0
15000000.0,1616696.5
15000000.0,1068513.5
15000000.0,1630480.0
15000000.0,1599314.0
15000000.0,1070568.5
15000000.0,1606211.5
15000000.0,2158914.0
15000000.0,2131951.5
15000000.0,4410428.5
15000000.0,1581808.5
15000000.0,1597545.5
15000000.0,1065048.5
15000000.0,1612771.0
15000000.0,1595664.0
15000000.0,1642562.0
15000000.0,1606302.5
15000000.0,1583416.0
15000000.0,3317049.0
15000000.0,4517149.0
15000000.0,1582471.0
15000000.0,1597075.5
15000000.0,1614371.0
15000000.0,1635916.0
15000000.0,2123519.5
15000000.0,1079473.0
15000000.0,1604038.5
15000000.0,1584923.0
15000000.0,2132974.0
15000000.0,5134084.0
15000000.0,1582808.0
15000000.0,2730413.5
15000000.0,1604060.5
15000000.0,1629324.0
15000000.0,2178947.0
15000000.0,1066003.5
15000000.0,1603925.0
15000000.0,1589981.0
15000000.0,2132611.0
15000000.0,4617028.5
15000000.0,1577968.5
15000000.0,1615795.0
15000000.0,1065820.0
15000000.0,1652712.5
15000000.0,2201319.0
15000000.0,1068470.5
15000000.0,1610351.0
15000000.0,1589214.5
15000000.0,2155221.0
15000000.0,4598324.5
15000000.0,1045725.5
15000000.0,1596587.0
15000000.0,1066941.5
15000000.0,1625674.5
15000000.0,2234041.0
15000000.0,1069023.5
15000000.0,1605269.5
15000000.0,1594730.0
15000000.0,2133927.0
15000000.0,4548370.0
15000000.0,1568299.5
15000000.0,1585882.5
15000000.0,1592039.0
15000000.0,1596587.0
15000000.0,2191621.5
15000000.0,1064595.0
15000000.0,3174297.0
15000000.0,2091944.0
15000000.0,2116004.5
15000000.0,4559688.0
15000000.0,1571347.5
15000000.0,1588694.5
15000000.0,1068455.0
15000000.0,1598894.0
15000000.0,2163511.5
15000000.0,1071788.5
15000000.0,1592113.0
15000000.0,1599129.0
15000000.0,2127725.0
15000000.0,4501777.0
15000000.0,1576757.0
15000000.0,2749804.0
15000000.0,1574413.5
15000000.0,1619190.0
15000000.0,2174338.0
15000000.0,1078023.5
15000000.0,1615544.5
15000000.0,1587339.5
15000000.0,2130668.0
15000000.0,11815424.5
15000000.0,1580699.0
15000000.0,1606506.5
15000000.0,1075910.0
15000000.0,1633562.5
15000000.0,2255982.0
15000000.0,1062976.5
15000000.0,1603567.0
15000000.0,1076153.5
15000000.0,2149046.0
15000000.0,4592459.0
15000000.0,1581724.5
15000000.0,1601732.5
15000000.0,1603096.5
15000000.0,1623451.0
15000000.0,2177960.5
15000000.0,1062255.0
15000000.0,1602964.0
15000000.0,1069604.0
15000000.0,2137994.0
15000000.0,4642522.5
15000000.0,1587100.0
15000000.0,1600311.0
15000000.0,1071020.0
15000000.0,1623351.0
15000000.0,2169423.0
15000000.0,1066387.0
15000000.0,1608283.5
15000000.0,1607235.0
15000000.0,3341681.5
15000000.0,4045385.5
15000000.0,1578622.0
15000000.0,1598874.5
15000000.0,1069869.0
15000000.0,1621729.5
15000000.0,2205018.5
15000000.0,1067957.0
15000000.0,1608314.5
15000000.0,1587718.0
15000000.0,2130263.0
15000000.0,4584045.0
15000000.0,1586407.5
15000000.0,2734999.5
15000000.0,1580777.5
15000000.0,1626533.5
15000000.0,2175455.0
15000000.0,1068239.0
15000000.0,1592806.5
15000000.0,1604461.5
15000000.0,2124041.0
15000000.0,5102332.0
15000000.0,1582829.5
15000000.0,1591452.0
15000000.0,1610402.5
15000000.0,1622945.5
15000000.0,2181499.5
15000000.0,1070718.0
15000000.0,1599304.5
15000000.0,1582183.5
15000000.0,2195243.5
15000000.0,4577292.5
15000000.0,3599617.5
15000000.0,1591125.0
15000000.0,1071987.5
15000000.0,1619724.5
15000000.0,2180222.0
15000000.0,1072040.5
15000000.0,1591527.5
15000000.0,1589780.5
15000000.0,2137586.5
15000000.0,4647582.5
15000000.0,1575709.0
15000000.0,1592381.0
15000000.0,1065421.0
15000000.0,1633618.5
15000000.0,2180921.0
15000000.0,1064885.5
15000000.0,3160934.0
15000000.0,2090997.0
15000000.0,2131249.0
15000000.0,4601062.0
15000000.0,1608182.0
15000000.0,1595222.5
15000000.0,1066436.5
15000000.0,1628684.5
15000000.0,2698701.5
15000000.0,1067249.0
15000000.0,1595669.0
15000000.0,1613196.5
15000000.0,2123514.5
15000000.0,4603221.0
15000000.0,1574112.5
15000000.0,2735017.0
15000000.0,2133234.0
15000000.0,1649419.5
15000000.0,2184682.5
15000000.0,1071615.5
15000000.0,1598400.0
15000000.0,1584430.5
15000000.0,2128980.0
15000000.0,10575923.5
15000000.0,1572110.0
15000000.0,1591567.0
15000000.0,1065277.5
15000000.0,1622357.5
15000000.0,2187863.5
15000000.0,1071361.5
15000000.0,1599960.5
15000000.0,1583541.5
15000000.0,2147295.0
15000000.0,4597653.0
15000000.0,1576038.5
15000000.0,1595189.5
15000000.0,1065461.5
15000000.0,1634812.5
15000000.0,2184869.5
15000000.0,1072038.0
15000000.0,1623337.5
15000000.0,1585060.5
15000000.0,2124343.0
15000000.0,4604485.0
15000000.0,1585068.0
15000000.0,1596461.0
15000000.0,1069610.5
15000000.0,1632202.5
15000000.0,2216882.0
15000000.0,1057700.0
15000000.0,1586143.5
15000000.0,1576923.0
15000000.0,3323666.5
15000000.0,5618936.0
15000000.0,1573532.5
15000000.0,1586842.5
15000000.0,1598110.0
15000000.0,1615675.5
15000000.0,2186054.0
15000000.0,1063344.0
15000000.0,1581919.0
15000000.0,1580444.5
15000000.0,2126761.0
15000000.0,4515878.5
15000000.0,1579729.0
15000000.0,2723134.5
15000000.0,1569018.0
15000000.0,1639970.5
15000000.0,2209704.0
15000000.0,1059503.5
15000000.0,1601614.5
15000000.0,1586072.5
15000000.0,2128925.0
15000000.0,4599901.0
15000000.0,1577323.0
15000000.0,1598094.5
15000000.0,1076777.5
15000000.0,1621736.0
15000000.0,2214390.5
15000000.0,1069949.5
15000000.0,1602896.0
15000000.0,1582206.5
15000000.0,2126653.5
15000000.0,4586903.5
15000000.0,1580105.5
15000000.0,1599818.0
15000000.0,1561387.0
15000000.0,1632256.0
15000000.0,2183795.0
15000000.0,1066197.0
15000000.0,1591130.5
15000000.0,1608489.5
15000000.0,2127984.5
15000000.0,5124480.0
15000000.0,1581698.0
15000000.0,1605342.0
15000000.0,1607314.5
15000000.0,1616413.5
15000000.0,2188415.5
15000000.0,1061770.5
15000000.0,3187376.5
15000000.0,1578132.0
15000000.0,2131904.0
15000000.0,4020405.5
15000000.0,1064661.0
15000000.0,1600294.5
15000000.0,1072731.0
15000000.0,1629346.5
15000000.0,2214753.0
15000000.0,1071236.5
15000000.0,1600354.5
15000000.0,1589519.5
15000000.0,2150217.0
15000000.0,4597556.5
15000000.0,1602441.5
15000000.0,2755858.5
15000000.0,1064816.5
15000000.0,1635963.5
15000000.0,2187852.0
15000000.0,1072034.5
15000000.0,1603484.5
15000000.0,1590292.5
15000000.0,2127357.5
15000000.0,10698940.5
15000000.0,1586241.0
15000000.0,1590329.5
15000000.0,1070436.5
15000000.0,1626219.0
15000000.0,2176087.0
15000000.0,1059899.5
15000000.0,1598883.0
15000000.0,1590186.5
15000000.0,2127849.0
15000000.0,4601241.5
15000000.0,1082722.5
15000000.0,1606917.0
15000000.0,1610923.0
15000000.0,1646582.0
15000000.0,2235400.0
15000000.0,1074477.5
15000000.0,1602198.0
15000000.0,1585940.5
15000000.0,2127506.5
15000000.0,4611260.0
15000000.0,1585728.0
15000000.0,1608246.0
15000000.0,1072461.5
15000000.0,2125913.5
15000000.0,2171315.0
15000000.0,1058761.5
