1S LIMIT AGG (ns), 1S USAGE AGG (ns)
15000000.0,15000000.0
15000000.0,14635660.5
21666500.0,21666500.0
27666500.0,6859176.5
33666500.0,17231608.0
26933000.0,26400075.0
26933000.0,26933000.0
32933000.0,31817328.0
38933000.0,30477500.5
44933000.0,27752990.5
35946000.0,20179642.5
28756500.0,17032285.0
23005000.0,19482917.0
23005000.0,20100057.5
23005000.0,17221208.5
18404000.0,16518966.5
18404000.0,18122256.0
18404000.0,18404000.0
24404000.0,24404000.0
30404000.0,30404000.0
36404000.0,36404000.0
42404000.0,42404000.0
48404000.0,48404000.0
54404000.0,54404000.0
60404000.0,57715563.5
66404000.0,54365816.5
66404000.0,66404000.0
66404000.0,66404000.0
72404000.0,72404000.0
78404000.0,68759651.5
84404000.0,62340548.5
67523000.0,67523000.0
67523000.0,67523000.0
73523000.0,69384578.0
79523000.0,71384028.0
79523000.0,78281367.0
79523000.0,79523000.0
79523000.0,79523000.0
85523000.0,85523000.0
91523000.0,85487141.5
97523000.0,97523000.0
97523000.0,92118686.0
103523000.0,101002726.5
103523000.0,103523000.0
103523000.0,103523000.0
109523000.0,109523000.0
115523000.0,115523000.0
121523000.0,101860541.5
127523000.0,127523000.0
127523000.0,127523000.0
133523000.0,129397027.5
139523000.0,133849137.0
139523000.0,118356534.0
137023000.0,128004908.5
137023000.0,135115290.0
137023000.0,125741955.0
137023000.0,133087712.0
134523000.0,116211894.5
134523000.0,132896108.5
134523000.0,134523000.0
134523000.0,134523000.0
134523000.0,134523000.0
134523000.0,132698289.0
134523000.0,125612809.0
132023000.0,128159494.0
132023000.0,127948655.0
132023000.0,130051152.0
132023000.0,126295193.5
132023000.0,132023000.0
132023000.0,127292782.0
136676000.0,124038703.0
136676000.0,128847462.5
136676000.0,129879533.0
134176000.0,125418565.0
134176000.0,114082950.5
131676000.0,114773728.0
131676000.0,113270130.0
129176000.0,115991734.5
129176000.0,113092186.0
126676000.0,113929881.0
126676000.0,114993069.0
126676000.0,111247098.0
124176000.0,112386734.0
124176000.0,119168447.5
124176000.0,112882261.0
121676000.0,111588354.0
121676000.0,115166023.5
121676000.0,111162905.5
119176000.0,112352254.0
119176000.0,117408103.0
119176000.0,118462106.5
