1S LIMIT AGG (ns), 1S USAGE AGG (ns)
15000000.0,3908860.0
15000000.0,1579315.5
15000000.0,1058438.0
15000000.0,3383765.0
15000000.0,8287151.0
15000000.0,1681024.0
15000000.0,3194699.0
15000000.0,1054275.0
15000000.0,1579124.5
15000000.0,4159490.5
15000000.0,7364815.5
15000000.0,6487981.0
15000000.0,6123119.5
15000000.0,5979944.0
15000000.0,7016617.5
15000000.0,7129416.5
15000000.0,10276161.5
15000000.0,7304087.0
15000000.0,10269998.5
15000000.0,10260278.5
15000000.0,15000000.0
15000000.0,13017510.5
21000000.0,15607494.0
16800000.0,12956356.5
15000000.0,15000000.0
15000000.0,15000000.0
21000000.0,18219613.5
27000000.0,18940899.0
21600000.0,21070343.5
21600000.0,21600000.0
21600000.0,21600000.0
21600000.0,21600000.0
27600000.0,19710619.0
33600000.0,25689813.0
26880000.0,23286875.5
26880000.0,26083710.5
26880000.0,26650254.0
26880000.0,26880000.0
26880000.0,26880000.0
32880000.0,28291705.5
38880000.0,28086501.5
31104000.0,29115810.0
31104000.0,29588236.0
31104000.0,30648564.5
31104000.0,30776352.5
31104000.0,31104000.0
37104000.0,35878032.0
43104000.0,35991102.5
43104000.0,37795869.0
43104000.0,32667264.5
34483000.0,27671786.0
34483000.0,30431206.5
34483000.0,28942001.0
34483000.0,30594151.0
34483000.0,27557988.0
27586000.0,27586000.0
27586000.0,27586000.0
27586000.0,27586000.0
33586000.0,23600566.0
39586000.0,24949638.5
31668500.0,24967357.5
25334500.0,25334500.0
25334500.0,25334500.0
31334500.0,27868685.5
37334500.0,24019253.5
29867500.0,26663469.5
29867500.0,27286006.0
29867500.0,26551056.0
29867500.0,28338784.0
29867500.0,27053846.0
29867500.0,28276807.0
29867500.0,27776672.0
29867500.0,24525795.0
29867500.0,29633986.5
29867500.0,28793375.0
29867500.0,26325806.5
29867500.0,29867500.0
29867500.0,27213218.5
35867500.0,23282272.0
28694000.0,26846136.5
28694000.0,28694000.0
28694000.0,28371385.0
28694000.0,27595069.0
28694000.0,26470665.5
28694000.0,28694000.0
28694000.0,27379568.0
34694000.0,28086457.5
34694000.0,26248045.5
27755000.0,27755000.0
27755000.0,27755000.0
27755000.0,27755000.0
33755000.0,26503902.5
39755000.0,25633532.5
31804000.0,24779753.5
25443000.0,23989814.5
25443000.0,25443000.0
25443000.0,25443000.0
31443000.0,30123410.0
37443000.0,25338359.5
29954000.0,27880200.0
29954000.0,29954000.0
29954000.0,28156549.0
29954000.0,25985360.0
29954000.0,29954000.0
29954000.0,29884413.5
35954000.0,28813799.0
35954000.0,27650326.5
28763000.0,26214869.5
28763000.0,28763000.0
28763000.0,26698977.5
28763000.0,28763000.0
28763000.0,27135955.5
34763000.0,23943623.0
27810000.0,23174501.5
27810000.0,27810000.0
27810000.0,27810000.0
33810000.0,30428963.0
39810000.0,26591267.0
31848000.0,24458992.5
25478000.0,25478000.0
25478000.0,25478000.0
31478000.0,27561224.5
37478000.0,24295940.5
29982000.0,27534302.0
29982000.0,28356935.0
29982000.0,28458869.5
29982000.0,29509628.0
29982000.0,27913357.5
35982000.0,26990556.0
28785500.0,23129070.0
28785500.0,28785500.0
28785500.0,28785500.0
34785500.0,22996057.0
40785500.0,26122571.5
32628000.0,24395692.0
26102000.0,26102000.0
26102000.0,26102000.0
32102000.0,29681170.0
38102000.0,29696750.5
30481500.0,29779750.5
30481500.0,28230406.0
30481500.0,29096566.5
30481500.0,29235004.0
30481500.0,27567571.0
30481500.0,28293294.5
30481500.0,28211824.0
30481500.0,27828165.5
30481500.0,30369469.5
30481500.0,27680192.0
36481500.0,23453350.5
29185000.0,27146346.5
29185000.0,24942242.5
29185000.0,29185000.0
29185000.0,29185000.0
35185000.0,24956077.5
41185000.0,27071612.0
32948000.0,29120923.5
32948000.0,26409393.5
32948000.0,28363778.0
32948000.0,26549912.0
32948000.0,32098556.5
32948000.0,25451184.5
26358000.0,24942037.0
26358000.0,26358000.0
26358000.0,26358000.0
32358000.0,23374621.0
38358000.0,29882795.0
30686000.0,25046463.5
30686000.0,26190356.0
30686000.0,30686000.0
30686000.0,30222004.0
36686000.0,26265716.0
29348500.0,24390744.0
29348500.0,24718376.5
29348500.0,26970238.5
29348500.0,27427728.5
29348500.0,29348500.0
29348500.0,29025599.0
35348500.0,26047041.5
28278500.0,28076922.5
28278500.0,25675718.0
28278500.0,28278500.0
28278500.0,26168844.0
28278500.0,27333403.0
28278500.0,28278500.0
28278500.0,28278500.0
34278500.0,28264810.0
34278500.0,31429773.0
34278500.0,33576150.5
34278500.0,29619891.5
34278500.0,32017744.0
34278500.0,25746973.5
27422500.0,25182537.5
27422500.0,26791022.0
27422500.0,27422500.0
27422500.0,27422500.0
33422500.0,25880821.5
39422500.0,34626668.5
39422500.0,28566550.0
31538000.0,23048105.0
25230000.0,25230000.0
25230000.0,25230000.0
31230000.0,26787580.0
37230000.0,23315164.0
29784000.0,27522114.5
29784000.0,29784000.0
29784000.0,29784000.0
35784000.0,27219177.5
