1S LIMIT AGG (ns), 1S USAGE AGG (ns)
15000000.0,6024682.0
15000000.0,6862849.5
15000000.0,7994899.5
15000000.0,5649818.5
15000000.0,5737458.0
15000000.0,6630614.0
15000000.0,6240142.5
15000000.0,8123280.5
15000000.0,6345208.5
15000000.0,7892773.5
15000000.0,10609005.0
15000000.0,9366503.0
15000000.0,15000000.0
15000000.0,15000000.0
45000000.0,18121256.0
75000000.0,16809552.0
60000000.0,18979555.0
48000000.0,19614509.0
38400000.0,23385928.0
30720000.0,22559593.5
24576000.0,24576000.0
24576000.0,24576000.0
54576000.0,26483775.0
84576000.0,27443215.5
67660500.0,24788257.0
54128000.0,28425354.5
43302000.0,26384007.0
34641500.0,27886244.5
34641500.0,30000205.5
34641500.0,30427261.0
34641500.0,32880183.0
34641500.0,29953899.0
34641500.0,31011411.0
32141500.0,28871613.5
32141500.0,28554316.5
32141500.0,32141500.0
32141500.0,32141500.0
62141500.0,28982464.5
92141500.0,29733243.0
73713000.0,32840965.5
58970000.0,25276071.0
47176000.0,32275730.0
37740500.0,27533691.5
30192000.0,27932524.0
30192000.0,27276142.0
30192000.0,30192000.0
30192000.0,30192000.0
30192000.0,30192000.0
60192000.0,35238968.0
90192000.0,32694746.5
72153500.0,22016391.5
57722500.0,36923447.5
46178000.0,27445569.0
36942000.0,29930524.0
36942000.0,33274499.5
36942000.0,30178683.5
36942000.0,32368907.5
36942000.0,30503542.0
34442000.0,23271719.0
27553500.0,27553500.0
27553500.0,27553500.0
57553500.0,31809408.5
87553500.0,31604870.0
70042500.0,32600015.0
56034000.0,32103081.0
44827000.0,31617152.5
35861500.0,31969928.0
35861500.0,27530743.0
28689000.0,28689000.0
28689000.0,28689000.0
58689000.0,35185316.5
75186500.0,29404658.0
60149000.0,26095985.5
48119000.0,27331662.0
38495000.0,29326761.0
30796000.0,30796000.0
30796000.0,28808181.5
60796000.0,32200100.5
48636500.0,28791483.5
38909000.0,28145541.0
31127000.0,29014919.0
31127000.0,24183012.0
24901500.0,22259227.5
24901500.0,23060070.0
24901500.0,24901500.0
24901500.0,24901500.0
54901500.0,26816330.5
84901500.0,27743546.0
67921000.0,28869704.0
54336500.0,29433397.0
43469000.0,28075567.5
34775000.0,28383677.0
34775000.0,30735785.5
34775000.0,32014631.0
34775000.0,34775000.0
34775000.0,34775000.0
64775000.0,31761844.0
94775000.0,38309633.5
75820000.0,37976377.5
60656000.0,30850444.0
48524500.0,39474632.0
48524500.0,35533644.5
38819500.0,31642377.0
38819500.0,30875960.0
31055500.0,31055500.0
31055500.0,29832009.0
61055500.0,30615658.5
48844000.0,35858332.5
39075000.0,32088843.0
39075000.0,31884517.5
39075000.0,32324151.5
39075000.0,32692791.5
36575000.0,31757966.5
36575000.0,29673921.5
36575000.0,34085501.5
36575000.0,34871432.5
36575000.0,32064921.0
36575000.0,33746742.0
36575000.0,35035187.0
36575000.0,32288331.0
34075000.0,31365827.5
34075000.0,30941595.0
34075000.0,33439381.5
34075000.0,32771340.0
34075000.0,33670867.0
34075000.0,33339882.5
34075000.0,32439362.0
34075000.0,32264131.5
34075000.0,23490625.0
27260000.0,27260000.0
27260000.0,27260000.0
57260000.0,28860172.5
87260000.0,27547587.0
69808000.0,31206884.5
55846000.0,31666724.0
44676500.0,28443951.0
35741000.0,34784633.5
35741000.0,28128566.0
28592500.0,28592500.0
28592500.0,27376473.5
58592500.0,30222774.0
46874000.0,26080085.0
37499000.0,28586088.0
29999000.0,29037253.5
29999000.0,26771898.0
29999000.0,29999000.0
29999000.0,28343619.0
59999000.0,28785617.5
47999000.0,23548551.0
38399000.0,23387917.0
30719000.0,28800494.5
30719000.0,20207896.0
24575000.0,24575000.0
24575000.0,24575000.0
54575000.0,31061772.5
84575000.0,33786490.5
67660000.0,30716673.5
54128000.0,27596520.0
43302000.0,29099562.5
34641500.0,26418919.0
27713000.0,27713000.0
27713000.0,27713000.0
27713000.0,27713000.0
57713000.0,34719115.0
87713000.0,31705044.5
70170000.0,31097324.5
56136000.0,27380798.5
44908500.0,33211897.5
35926500.0,32677262.0
35926500.0,35584190.0
35926500.0,30174101.5
35926500.0,30685135.5
35926500.0,32658613.0
35926500.0,29127562.0
35926500.0,29469755.5
33426500.0,29229267.0
33426500.0,33426500.0
33426500.0,33426500.0
63426500.0,36882330.5
93426500.0,29636267.0
74741000.0,34923601.0
59792500.0,33870639.0
47834000.0,26689818.0
38267000.0,32808714.0
38267000.0,26300756.0
30613500.0,30613500.0
30613500.0,30613500.0
60613500.0,26880048.0
90613500.0,28029788.5
72490500.0,33378327.0
57992000.0,37284265.0
46393500.0,29712403.5
37114500.0,34360937.5
37114500.0,25450535.5
29691500.0,29691500.0
29691500.0,29691500.0
59691500.0,33266530.5
89691500.0,32580641.0
71753000.0,28269606.5
57402000.0,32954727.5
45921500.0,30383277.5
36737000.0,35920247.0
36737000.0,32174114.5
36737000.0,34505887.5
36737000.0,36737000.0
36737000.0,36515372.5
66737000.0,33736877.5
53389500.0,35599615.0
42711500.0,32190282.0
34169000.0,30524310.5
34169000.0,31689753.0
34169000.0,27599229.5
34169000.0,31358732.5
34169000.0,29576583.5
34169000.0,22772134.5
27335000.0,26934496.0
27335000.0,26657561.5
27335000.0,27335000.0
27335000.0,27335000.0
57335000.0,36220694.0
87335000.0,28025104.5
69868000.0,29522393.5
55894000.0,25381866.5
44715000.0,32116541.5
35772000.0,30243923.5
35772000.0,28437957.5
28617500.0,28617500.0
28617500.0,27981483.5
58617500.0,30864821.0
46894000.0,27977871.5
37515000.0,33373652.0
37515000.0,36539600.5
37515000.0,32479708.0
37515000.0,33678667.0
37515000.0,36268661.5
37515000.0,33236199.0
37515000.0,37515000.0
37515000.0,37304895.0
