1S LIMIT AGG (ns), 1S USAGE AGG (ns)
15000000.0,6628789.0
15000000.0,13788939.0
15000000.0,13733039.0
21000000.0,5691078.5
16800000.0,4640626.0
15000000.0,4625741.0
15000000.0,15000000.0
15000000.0,14368478.5
21000000.0,12536311.5
16800000.0,9181418.0
15000000.0,15000000.0
15000000.0,15000000.0
21000000.0,10615786.5
27000000.0,16555279.0
21600000.0,841798.5
17280000.0,16567949.5
17280000.0,1719264.0
15000000.0,15000000.0
15000000.0,4038617.5
21000000.0,16472569.0
16800000.0,5224024.5
15000000.0,15000000.0
15000000.0,3952730.5
21000000.0,15438396.5
16800000.0,6011343.5
15000000.0,14431840.5
15000000.0,5563280.0
21000000.0,12823569.5
16800000.0,10840704.5
15000000.0,15000000.0
15000000.0,8062680.0
21000000.0,19369117.5
21000000.0,537736.0
27000000.0,17327046.5
21600000.0,17679325.5
21600000.0,16262866.5
17280000.0,6453739.5
15000000.0,15000000.0
15000000.0,2473848.5
21000000.0,15941798.5
16800000.0,1756787.0
15000000.0,14505433.0
15000000.0,9943022.0
21000000.0,17725709.5
21000000.0,4032481.0
16800000.0,16643258.0
16800000.0,5148992.0
22800000.0,16615846.0
18240000.0,18011623.5
18240000.0,18240000.0
18240000.0,18240000.0
24240000.0,24240000.0
30240000.0,26530865.5
36240000.0,22012029.0
28992000.0,23690042.0
28992000.0,20376599.5
23193500.0,4587437.0
18554500.0,18554500.0
18554500.0,18554500.0
24554500.0,24554500.0
30554500.0,19557509.5
36554500.0,24876537.0
29243500.0,25504661.0
29243500.0,29243500.0
29243500.0,20534291.5
35243500.0,28110917.5
28194500.0,25200561.0
28194500.0,28194500.0
28194500.0,28194500.0
34194500.0,33016162.5
40194500.0,31669461.0
32155500.0,32155500.0
32155500.0,32155500.0
38155500.0,37134971.0
38155500.0,38155500.0
38155500.0,30227954.5
44155500.0,33618209.5
35324000.0,33927865.5
35324000.0,35324000.0
35324000.0,35324000.0
41324000.0,38050906.0
47324000.0,38231998.5
47324000.0,37604185.0
37859000.0,37859000.0
37859000.0,37859000.0
43859000.0,42103714.5
49859000.0,45082734.0
49859000.0,39440381.5
39887000.0,39887000.0
39887000.0,39887000.0
45887000.0,45887000.0
51887000.0,48726304.0
57887000.0,47142917.5
57887000.0,40263813.0
46309500.0,46309500.0
46309500.0,42699230.5
46309500.0,45026800.0
52309500.0,39791649.5
41847500.0,34477644.5
41847500.0,36838803.0
41847500.0,35359875.5
41847500.0,39869526.5
41847500.0,37599822.5
39347500.0,36258802.5
39347500.0,32746726.0
39347500.0,35981295.5
39347500.0,32317649.0
39347500.0,36864395.5
39347500.0,32483025.5
36847500.0,36436180.5
36847500.0,31087616.0
36847500.0,32523621.5
36847500.0,35178050.5
36847500.0,36847500.0
36847500.0,36847500.0
42847500.0,40289589.0
48847500.0,37341425.0
39078000.0,35687045.0
39078000.0,33630314.0
39078000.0,35200561.0
39078000.0,33875943.0
39078000.0,34368361.0
39078000.0,39078000.0
39078000.0,37167019.5
45078000.0,37455069.5
45078000.0,34822440.5
36062000.0,36062000.0
36062000.0,36062000.0
42062000.0,42006315.0
48062000.0,39403712.5
48062000.0,37336266.5
38449500.0,38449500.0
38449500.0,37449289.5
