1S LIMIT AGG (ns), 1S USAGE AGG (ns)
15000000.0,1041243.5
15000000.0,518149.5
15000000.0,1547465.5
15000000.0,1075979.0
15000000.0,3654309.5
15000000.0,549342.5
15000000.0,519228.0
15000000.0,1059287.5
15000000.0,1035378.0
15000000.0,516691.0
15000000.0,1035573.0
15000000.0,1052892.5
15000000.0,1550044.5
15000000.0,1068146.0
15000000.0,1574649.0
15000000.0,515298.0
15000000.0,512710.5
15000000.0,517821.5
15000000.0,507769.0
15000000.0,510859.0
15000000.0,1015019.0
15000000.0,1513889.0
15000000.0,1032475.5
15000000.0,1061448.0
15000000.0,4117729.5
15000000.0,516451.0
15000000.0,517619.5
15000000.0,508137.5
15000000.0,515649.0
15000000.0,517214.5
15000000.0,1029005.0
15000000.0,509610.5
15000000.0,1027738.0
15000000.0,1068461.5
15000000.0,2591238.0
15000000.0,517748.5
15000000.0,515789.5
15000000.0,509369.0
15000000.0,515872.5
15000000.0,519883.0
15000000.0,1022163.5
15000000.0,1021467.5
15000000.0,1034646.5
15000000.0,1576805.5
15000000.0,2624784.5
15000000.0,1026853.0
15000000.0,510590.5
15000000.0,508300.0
15000000.0,6243637.0
15000000.0,510414.0
15000000.0,1016700.0
15000000.0,509642.5
15000000.0,1025491.0
15000000.0,1069907.0
15000000.0,2083460.0
15000000.0,518764.0
15000000.0,522472.5
15000000.0,539784.5
15000000.0,518760.5
15000000.0,518585.5
15000000.0,1035312.5
15000000.0,515485.0
15000000.0,1546488.0
15000000.0,1067181.5
15000000.0,2137335.0
15000000.0,517285.5
15000000.0,517319.5
15000000.0,512135.0
15000000.0,508014.0
15000000.0,519686.0
15000000.0,1554190.0
15000000.0,15000000.0
15000000.0,15000000.0
45000000.0,45000000.0
75000000.0,75000000.0
105000000.0,103244202.0
135000000.0,135000000.0
165000000.0,165000000.0
195000000.0,124013033.0
225000000.0,523870.5
180000000.0,523049.0
144000000.0,520456.5
115200000.0,1170250.0
92160000.0,55829508.0
73728000.0,540268.0
58982000.0,513451.0
47185500.0,520470.5
37748000.0,509774.0
30198000.0,515648.5
24158000.0,516913.5
19326000.0,1725082.0
15460500.0,15460500.0
15460500.0,14805828.5
45460500.0,45460500.0
45460500.0,33688171.5
75460500.0,517698.0
60368000.0,521064.5
48294000.0,521162.5
38635000.0,579085.0
30908000.0,518468.5
24726000.0,512638.5
19780500.0,1076223.0
15824000.0,518104.5
15000000.0,1062329.5
15000000.0,1666755.0
15000000.0,516763.0
15000000.0,15000000.0
15000000.0,15000000.0
45000000.0,44623470.5
75000000.0,69891690.0
105000000.0,105000000.0
105000000.0,105000000.0
135000000.0,106972810.0
108000000.0,69901703.0
86400000.0,86400000.0
86400000.0,24787845.0
69120000.0,58690370.5
69120000.0,23445533.5
55296000.0,519660.0
44236500.0,522272.0
35389000.0,518031.5
28311000.0,28311000.0
28311000.0,28311000.0
58311000.0,58311000.0
88311000.0,18763687.0
118311000.0,516340.0
94648500.0,71488761.5
75718500.0,75718500.0
75718500.0,75718500.0
105718500.0,105718500.0
135718500.0,95933086.0
165718500.0,7164645.0
132574500.0,107991263.0
132574500.0,102838786.0
106059500.0,22226303.5
84847500.0,57877722.5
67878000.0,1276692.5
54302000.0,518509.0
43441500.0,43441500.0
43441500.0,25138709.5
73441500.0,524868.0
58753000.0,522608.0
47002000.0,47002000.0
47002000.0,32533589.5
77002000.0,25078062.5
61601500.0,46235072.5
49281000.0,30053824.0
39424500.0,35635273.5
39424500.0,522690.0
31539500.0,30216305.0
31539500.0,27823558.0
31539500.0,521954.0
25231500.0,519314.5
20185000.0,1085545.5
16148000.0,1038863.5
15000000.0,15000000.0
15000000.0,15000000.0
45000000.0,45000000.0
75000000.0,75000000.0
105000000.0,59267086.0
135000000.0,51010346.0
108000000.0,81824088.5
86400000.0,86400000.0
86400000.0,86400000.0
116400000.0,116400000.0
146400000.0,60240490.0
176400000.0,520431.5
141120000.0,523657.5
112896000.0,1166414.0
90316500.0,520070.0
72253000.0,61423060.5
72253000.0,514830.5
57802000.0,543854.0
46241500.0,1055816.5
36993000.0,2063036.0
29594000.0,29594000.0
29594000.0,29594000.0
59594000.0,59594000.0
89594000.0,51053165.0
119594000.0,1048796.0
95675000.0,1073610.0
76540000.0,519779.0
61232000.0,514070.5
48985500.0,1068854.5
39188000.0,24544598.5
31350000.0,1072684.5
25080000.0,514024.5
20064000.0,520036.5
16051000.0,1089607.5
15000000.0,519839.0
15000000.0,1684740.0
15000000.0,514177.5
15000000.0,517616.5
15000000.0,1589894.0
15000000.0,1598939.5
15000000.0,1043685.0
15000000.0,505020.5
15000000.0,513808.0
15000000.0,15000000.0
15000000.0,15000000.0
45000000.0,28943350.5
75000000.0,511509.5
60000000.0,520033.5
48000000.0,1569616.5
38400000.0,38400000.0
38400000.0,38400000.0
68400000.0,59927473.5
98400000.0,53536915.5
78720000.0,49015275.5
62976000.0,62976000.0
62976000.0,52964254.0
92976000.0,13013332.5
74380500.0,521625.5
59504000.0,1081158.5
47603000.0,520330.0
38082000.0,2561933.5
30465500.0,510564.0
24372000.0,506373.5
19497500.0,519759.5
15598000.0,15598000.0
15598000.0,15598000.0
45598000.0,45598000.0
75598000.0,75598000.0
105598000.0,105598000.0
135598000.0,135598000.0
165598000.0,165598000.0
195598000.0,174009264.5
225598000.0,110714524.0
180478000.0,180478000.0
180478000.0,180478000.0
210478000.0,210478000.0
240478000.0,240478000.0
270478000.0,270478000.0
300478000.0,300478000.0
330478000.0,245453464.5
360478000.0,274572115.0
288382000.0,151622908.0
230705500.0,176783956.5
184564000.0,49043605.0
147651000.0,124647368.0
147651000.0,104801988.5
118120500.0,66158000.5
94496000.0,60973856.0
75596500.0,1055505.5
60477000.0,518084.5
48381500.0,48381500.0
48381500.0,48381500.0
78381500.0,78381500.0
108381500.0,108381500.0
138381500.0,138381500.0
168381500.0,101347715.5
198381500.0,76587342.5
158705000.0,50020394.0
126964000.0,31559205.0
101571000.0,31438642.5
81256500.0,513656.5
65005000.0,20074921.5
52004000.0,52004000.0
52004000.0,52004000.0
82004000.0,82004000.0
112004000.0,112004000.0
142004000.0,137554066.0
172004000.0,63503901.5
137603000.0,137603000.0
137603000.0,115063003.5
167603000.0,35447387.0
134082000.0,57321745.0
107265500.0,107265500.0
107265500.0,107265500.0
137265500.0,116919924.0
167265500.0,46342176.5
133812000.0,129864674.0
133812000.0,133812000.0
133812000.0,133812000.0
163812000.0,163812000.0
193812000.0,163017592.0
223812000.0,68339496.0
179049500.0,23638890.5
143239500.0,42893973.0
114591500.0,98013513.0
114591500.0,67414377.5
91673000.0,91673000.0
91673000.0,91673000.0
121673000.0,42439643.0
151673000.0,20119503.5
121338000.0,71430956.0
97070000.0,15311798.0
77656000.0,34317090.5
62124500.0,23238172.5
49699500.0,518191.0
39759500.0,32205676.5
39759500.0,3016609.0
31807500.0,31807500.0
31807500.0,31807500.0
61807500.0,61807500.0
91807500.0,59288715.0
121807500.0,121807500.0
121807500.0,121807500.0
151807500.0,151807500.0
181807500.0,181807500.0
211807500.0,82582545.5
241807500.0,80901060.5
193446000.0,74999708.0
154756500.0,49165033.0
123805000.0,117506240.0
123805000.0,62485358.5
99044000.0,73729998.0
79235000.0,78692248.5
79235000.0,79235000.0
79235000.0,79235000.0
109235000.0,109235000.0
139235000.0,139235000.0
169235000.0,169235000.0
199235000.0,199235000.0
229235000.0,229235000.0
259235000.0,259235000.0
289235000.0,289235000.0
319235000.0,209232338.0
349235000.0,194459203.0
279388000.0,135388479.5
